#Cluster	Sample size	Presence SNPs	Absence SNPs	Filtered presence SNPs	Filtered absence SNPs	Presence markers	Absence markers	Filtered presence markers	Filtered absence markers
L4.2.1.1.2.2.2.2.1.2.1.2.2	43	4	0	4	0	4	0	4	0
L4.2.1.1.2.2.2.2.2.1	499	0	0	0	0	0	0	0	0
L4.2.1.1.2.2.2.2.2.2	115	2	0	2	0	2	0	2	0
L4.2.1.1.2.2.2.2.2.1.1	47	3	0	3	0	3	0	3	0
L4.2.1.1.2.2.2.2.2.1.2	452	1	0	1	0	1	0	1	0
L4.2.1.1.2.2.2.2.2.1.1.1	16	11	0	11	0	11	0	11	0
L4.2.1.1.2.2.2.2.2.1.1.2	27	3	0	3	0	3	0	3	0
L4.2.1.1.2.2.2.2.2.1.2.1	414	0	0	0	0	0	0	0	0
L4.2.1.1.2.2.2.2.2.1.2.2	38	2	0	2	0	2	0	2	0
L4.2.1.1.2.2.2.2.2.1.2.1.1	46	0	0	0	0	0	0	0	0
L4.2.1.1.2.2.2.2.2.1.2.1.2	368	1	0	1	0	1	0	1	0
L4.2.1.1.2.2.2.2.2.1.2.1.1.1	14	7	0	7	0	7	0	7	0
L4.2.1.1.2.2.2.2.2.1.2.1.1.2	23	23	0	23	0	23	0	23	0
L4.2.1.1.2.2.2.2.2.1.2.1.2.1	140	8	0	8	0	8	0	8	0
L4.2.1.1.2.2.2.2.2.1.2.1.2.2	228	5	0	5	0	5	0	5	0
L4.2.1.1.2.2.2.2.2.1.2.1.2.1.1	47	10	0	8	0	8	0	8	0
L4.2.1.1.2.2.2.2.2.1.2.1.2.1.2	93	17	0	17	0	17	0	17	0
L4.2.1.1.2.2.2.2.2.1.2.1.2.1.1.1	35	4	0	4	0	4	0	4	0
L4.2.1.1.2.2.2.2.2.1.2.1.2.1.1.2	12	1	0	1	0	1	0	1	0
L4.2.1.1.2.2.2.2.2.1.2.1.2.2.1	54	4	0	4	0	4	0	4	0
L4.2.1.1.2.2.2.2.2.1.2.1.2.2.2	174	3	0	3	0	3	0	3	0
L4.2.1.1.2.2.2.2.2.1.2.1.2.2.1.1	20	5	0	5	0	5	0	5	0
L4.2.1.1.2.2.2.2.2.1.2.1.2.2.1.2	24	11	0	11	0	11	0	11	0
L4.2.1.1.2.2.2.2.2.1.2.1.2.2.2.1	43	4	0	4	0	4	0	4	0
L4.2.1.1.2.2.2.2.2.1.2.1.2.2.2.2	131	0	0	0	0	0	0	0	0
L4.2.1.1.2.2.2.2.2.1.2.1.2.2.2.1.1	22	4	0	4	0	4	0	4	0
L4.2.1.1.2.2.2.2.2.1.2.1.2.2.2.1.2	10	0	0	0	0	0	0	0	0
L4.2.1.1.2.2.2.2.2.1.2.1.2.2.2.2.1	107	11	0	11	0	11	0	11	0
L4.2.1.1.2.2.2.2.2.1.2.1.2.2.2.2.2	24	11	0	11	0	11	0	11	0
L4.2.1.1.2.2.2.2.2.1.2.2.1	13	2	0	2	0	2	0	2	0
L4.2.1.1.2.2.2.2.2.1.2.2.2	16	2	0	2	0	2	0	2	0
L4.2.1.1.2.2.2.2.2.2.1	40	9	0	9	0	9	0	9	0
L4.2.1.1.2.2.2.2.2.2.2	67	1	0	1	0	1	0	1	0
L4.2.1.1.2.2.2.2.2.2.1.1	23	5	0	5	0	5	0	5	0
L4.2.1.1.2.2.2.2.2.2.1.2	16	6	0	6	0	6	0	6	0
L4.2.1.1.2.2.2.2.2.2.2.1	16	12	0	12	0	12	0	12	0
L4.2.1.1.2.2.2.2.2.2.2.2	51	1	0	1	0	1	0	1	0
L4.2.1.1.2.2.2.2.2.2.2.2.1	17	20	0	20	0	20	0	20	0
L4.2.1.1.2.2.2.2.2.2.2.2.2	34	7	0	7	0	7	0	7	0
L4.2.1.2.1	53	101	0	99	0	99	0	99	0
L4.2.1.2.2	11	121	0	119	0	119	0	119	0
L4.2.2.1	119	52	0	52	0	52	0	52	0
L4.2.2.2	667	0	13	0	13	39	0	39	0
